Transaction_ID,Vendor,Category,Amount,Date,Department
1,IBM,Consulting,13803,2024-01-01 00:00:00,IT
2,TCS,Software,50625,2024-01-01 01:00:00,Operations
3,Infosys,Cloud,94361,2024-01-01 02:00:00,Finance
4,IBM,Consulting,14698,2024-01-01 03:00:00,Operations
5,Google Cloud,Consulting,35560,2024-01-01 04:00:00,Operations
6,Infosys,Software,16376,2024-01-01 05:00:00,Finance
7,Infosys,Software,84654,2024-01-01 06:00:00,Marketing
8,IBM,Software,14117,2024-01-01 07:00:00,HR
9,Azure,Software,57381,2024-01-01 08:00:00,HR
10,Google Cloud,Software,38956,2024-01-01 09:00:00,Finance
11,IBM,Infrastructure,49786,2024-01-01 10:00:00,HR
12,Google Cloud,Software,88778,2024-01-01 11:00:00,IT
13,Google Cloud,Cloud,67480,2024-01-01 12:00:00,Marketing
14,Infosys,Consulting,32695,2024-01-01 13:00:00,Operations
15,TCS,Cloud,2511,2024-01-01 14:00:00,Operations
16,Google Cloud,Cloud,54233,2024-01-01 15:00:00,Finance
17,Wipro,Infrastructure,23502,2024-01-01 16:00:00,Operations
18,Infosys,Software,51010,2024-01-01 17:00:00,IT
19,Azure,Consulting,91341,2024-01-01 18:00:00,IT
20,TCS,Cloud,93529,2024-01-01 19:00:00,Finance
21,Wipro,Software,74905,2024-01-01 20:00:00,Operations
22,Wipro,Software,47489,2024-01-01 21:00:00,HR
23,Azure,Infrastructure,84533,2024-01-01 22:00:00,HR
24,TCS,Infrastructure,82165,2024-01-01 23:00:00,Marketing
25,Infosys,Infrastructure,32949,2024-01-02 00:00:00,Finance
26,AWS,Consulting,69376,2024-01-02 01:00:00,Marketing
27,TCS,Cloud,80587,2024-01-02 02:00:00,HR
28,Azure,Infrastructure,94059,2024-01-02 03:00:00,HR
29,Wipro,Infrastructure,68310,2024-01-02 04:00:00,HR
30,Infosys,Infrastructure,79798,2024-01-02 05:00:00,Marketing
31,TCS,Cloud,70407,2024-01-02 06:00:00,Finance
32,AWS,Cloud,74809,2024-01-02 07:00:00,IT
33,AWS,Infrastructure,18229,2024-01-02 08:00:00,IT
34,Google Cloud,Infrastructure,28385,2024-01-02 09:00:00,HR
35,Google Cloud,Software,376353,2024-01-02 10:00:00,Finance
36,IBM,Infrastructure,95825,2024-01-02 11:00:00,Finance
37,Azure,Consulting,4260,2024-01-02 12:00:00,Operations
38,TCS,Consulting,98555,2024-01-02 13:00:00,Operations
39,TCS,Infrastructure,4145,2024-01-02 14:00:00,Marketing
40,IBM,Cloud,98289,2024-01-02 15:00:00,Operations
41,Wipro,Software,8802,2024-01-02 16:00:00,Marketing
42,Wipro,Cloud,3263,2024-01-02 17:00:00,IT
43,IBM,Infrastructure,27913,2024-01-02 18:00:00,HR
44,Wipro,Consulting,58788,2024-01-02 19:00:00,Finance
45,Google Cloud,Software,9155,2024-01-02 20:00:00,IT
46,TCS,Cloud,1922,2024-01-02 21:00:00,IT
47,IBM,Cloud,73231,2024-01-02 22:00:00,Marketing
48,TCS,Infrastructure,21672,2024-01-02 23:00:00,HR
49,AWS,Software,621386,2024-01-03 00:00:00,Marketing
50,Google Cloud,Consulting,46344,2024-01-03 01:00:00,IT
51,Infosys,Infrastructure,20014,2024-01-03 02:00:00,Finance
52,Google Cloud,Software,74352,2024-01-03 03:00:00,Operations
53,IBM,Cloud,92279,2024-01-03 04:00:00,Marketing
54,Infosys,Infrastructure,41324,2024-01-03 05:00:00,IT
55,AWS,Cloud,95075,2024-01-03 06:00:00,Operations
56,IBM,Cloud,96638,2024-01-03 07:00:00,Operations
57,Azure,Infrastructure,39698,2024-01-03 08:00:00,IT
58,TCS,Infrastructure,78169,2024-01-03 09:00:00,HR
59,AWS,Infrastructure,24384,2024-01-03 10:00:00,IT
60,TCS,Infrastructure,4512,2024-01-03 11:00:00,Finance
61,Wipro,Infrastructure,7066,2024-01-03 12:00:00,Operations
62,Azure,Cloud,32500,2024-01-03 13:00:00,Finance
63,Azure,Consulting,79743,2024-01-03 14:00:00,Marketing
64,AWS,Consulting,86642,2024-01-03 15:00:00,Operations
65,Azure,Infrastructure,80858,2024-01-03 16:00:00,HR
66,Infosys,Cloud,55800,2024-01-03 17:00:00,IT
67,Azure,Consulting,64140,2024-01-03 18:00:00,Marketing
68,TCS,Consulting,85954,2024-01-03 19:00:00,Finance
69,TCS,Consulting,3387,2024-01-03 20:00:00,Marketing
70,IBM,Cloud,57160,2024-01-03 21:00:00,HR
71,TCS,Infrastructure,60241,2024-01-03 22:00:00,IT
72,IBM,Infrastructure,74567,2024-01-03 23:00:00,Marketing
73,TCS,Infrastructure,2799,2024-01-04 00:00:00,Finance
74,Infosys,Software,493366,2024-01-04 01:00:00,Marketing
75,IBM,Software,34895,2024-01-04 02:00:00,IT
76,Google Cloud,Software,91450,2024-01-04 03:00:00,Marketing
77,Wipro,Cloud,81171,2024-01-04 04:00:00,Finance
78,AWS,Consulting,41379,2024-01-04 05:00:00,IT
79,TCS,Consulting,46414,2024-01-04 06:00:00,HR
80,Azure,Cloud,74071,2024-01-04 07:00:00,HR
81,TCS,Cloud,69344,2024-01-04 08:00:00,Operations
82,Azure,Infrastructure,79591,2024-01-04 09:00:00,Marketing
83,Wipro,Infrastructure,94141,2024-01-04 10:00:00,Finance
84,Wipro,Software,93201,2024-01-04 11:00:00,Marketing
85,Wipro,Software,99303,2024-01-04 12:00:00,IT
86,Azure,Cloud,5297,2024-01-04 13:00:00,Operations
87,TCS,Software,87479,2024-01-04 14:00:00,Finance
88,Wipro,Consulting,99752,2024-01-04 15:00:00,Marketing
89,Infosys,Cloud,6008,2024-01-04 16:00:00,Finance
90,IBM,Cloud,87813,2024-01-04 17:00:00,IT
91,Azure,Consulting,17820,2024-01-04 18:00:00,Operations
92,Azure,Infrastructure,72548,2024-01-04 19:00:00,Finance
93,TCS,Infrastructure,23253,2024-01-04 20:00:00,IT
94,Azure,Consulting,30202,2024-01-04 21:00:00,HR
95,Azure,Consulting,30236,2024-01-04 22:00:00,Finance
96,Wipro,Software,68156,2024-01-04 23:00:00,Operations
97,TCS,Cloud,61263,2024-01-05 00:00:00,Finance
98,Wipro,Software,75855,2024-01-05 01:00:00,Finance
99,IBM,Consulting,17575,2024-01-05 02:00:00,IT
100,IBM,Software,13204,2024-01-05 03:00:00,Marketing
101,Wipro,Consulting,12952,2024-01-05 04:00:00,Marketing
102,IBM,Software,84323,2024-01-05 05:00:00,Finance
103,TCS,Software,52142,2024-01-05 06:00:00,Operations
104,AWS,Infrastructure,34872,2024-01-05 07:00:00,Operations
105,Wipro,Consulting,30376,2024-01-05 08:00:00,IT
106,Infosys,Software,67084,2024-01-05 09:00:00,Finance
107,Infosys,Cloud,12640,2024-01-05 10:00:00,Finance
108,Azure,Software,27437,2024-01-05 11:00:00,Marketing
109,IBM,Software,88681,2024-01-05 12:00:00,IT
110,Infosys,Cloud,8903,2024-01-05 13:00:00,HR
111,Azure,Consulting,84704,2024-01-05 14:00:00,Operations
112,AWS,Infrastructure,27863,2024-01-05 15:00:00,Operations
113,TCS,Infrastructure,768926,2024-01-05 16:00:00,Finance
114,TCS,Infrastructure,29548,2024-01-05 17:00:00,IT
115,TCS,Cloud,50956,2024-01-05 18:00:00,HR
116,Infosys,Software,75526,2024-01-05 19:00:00,Operations
117,AWS,Consulting,12467,2024-01-05 20:00:00,IT
118,Infosys,Software,58954,2024-01-05 21:00:00,HR
119,IBM,Infrastructure,24901,2024-01-05 22:00:00,Finance
120,Infosys,Software,56983,2024-01-05 23:00:00,Marketing
121,AWS,Cloud,24301,2024-01-06 00:00:00,Operations
122,AWS,Cloud,86180,2024-01-06 01:00:00,Operations
123,IBM,Consulting,70903,2024-01-06 02:00:00,HR
124,AWS,Consulting,17204,2024-01-06 03:00:00,Marketing
125,AWS,Infrastructure,20755,2024-01-06 04:00:00,IT
126,TCS,Consulting,60817,2024-01-06 05:00:00,Finance
127,IBM,Software,3093,2024-01-06 06:00:00,IT
128,Google Cloud,Cloud,70537,2024-01-06 07:00:00,HR
129,Google Cloud,Cloud,97319,2024-01-06 08:00:00,Operations
130,AWS,Cloud,23940,2024-01-06 09:00:00,Operations
131,Google Cloud,Consulting,74346,2024-01-06 10:00:00,IT
132,Google Cloud,Cloud,45040,2024-01-06 11:00:00,Finance
133,AWS,Cloud,38322,2024-01-06 12:00:00,HR
134,Google Cloud,Cloud,92544,2024-01-06 13:00:00,Finance
135,Infosys,Infrastructure,85437,2024-01-06 14:00:00,HR
136,Azure,Infrastructure,93969,2024-01-06 15:00:00,Finance
137,IBM,Consulting,88725,2024-01-06 16:00:00,IT
138,Azure,Cloud,95266,2024-01-06 17:00:00,Marketing
139,AWS,Consulting,10236,2024-01-06 18:00:00,HR
140,TCS,Cloud,73597,2024-01-06 19:00:00,IT
141,IBM,Cloud,85124,2024-01-06 20:00:00,Operations
142,AWS,Cloud,4902,2024-01-06 21:00:00,Operations
143,TCS,Consulting,35364,2024-01-06 22:00:00,Finance
144,Azure,Consulting,99983,2024-01-06 23:00:00,Operations
145,AWS,Cloud,95410,2024-01-07 00:00:00,Marketing
146,IBM,Software,21096,2024-01-07 01:00:00,HR
147,IBM,Consulting,13020,2024-01-07 02:00:00,Finance
148,Wipro,Infrastructure,59473,2024-01-07 03:00:00,HR
149,Infosys,Consulting,45153,2024-01-07 04:00:00,HR
150,Google Cloud,Cloud,42277,2024-01-07 05:00:00,IT
151,TCS,Software,88221,2024-01-07 06:00:00,Operations
152,Wipro,Cloud,39502,2024-01-07 07:00:00,HR
153,Google Cloud,Infrastructure,16675,2024-01-07 08:00:00,Marketing
154,Google Cloud,Consulting,25365,2024-01-07 09:00:00,Marketing
155,AWS,Consulting,88812,2024-01-07 10:00:00,Operations
156,Google Cloud,Cloud,79229,2024-01-07 11:00:00,Operations
157,Infosys,Cloud,90049,2024-01-07 12:00:00,Finance
158,IBM,Infrastructure,53148,2024-01-07 13:00:00,Finance
159,Wipro,Software,90157,2024-01-07 14:00:00,Finance
160,Google Cloud,Infrastructure,90247,2024-01-07 15:00:00,Operations
161,AWS,Software,94321,2024-01-07 16:00:00,HR
162,Infosys,Consulting,69078,2024-01-07 17:00:00,IT
163,Azure,Software,83598,2024-01-07 18:00:00,Finance
164,IBM,Software,71902,2024-01-07 19:00:00,IT
165,IBM,Consulting,27465,2024-01-07 20:00:00,Marketing
166,Wipro,Consulting,33286,2024-01-07 21:00:00,Operations
167,IBM,Consulting,55795,2024-01-07 22:00:00,Marketing
168,Google Cloud,Infrastructure,41178,2024-01-07 23:00:00,Finance
169,AWS,Consulting,80183,2024-01-08 00:00:00,HR
170,IBM,Cloud,50986,2024-01-08 01:00:00,Finance
171,IBM,Consulting,44201,2024-01-08 02:00:00,IT
172,Azure,Consulting,44315,2024-01-08 03:00:00,Finance
173,Azure,Consulting,76396,2024-01-08 04:00:00,HR
174,TCS,Software,56178,2024-01-08 05:00:00,HR
175,Infosys,Infrastructure,11745,2024-01-08 06:00:00,Operations
176,Google Cloud,Consulting,73354,2024-01-08 07:00:00,Operations
177,IBM,Infrastructure,80637,2024-01-08 08:00:00,HR
178,IBM,Cloud,6028,2024-01-08 09:00:00,HR
179,AWS,Cloud,99261,2024-01-08 10:00:00,IT
180,TCS,Consulting,49566,2024-01-08 11:00:00,Finance
181,Infosys,Cloud,44722,2024-01-08 12:00:00,Operations
182,TCS,Infrastructure,87623,2024-01-08 13:00:00,IT
183,Wipro,Software,75974,2024-01-08 14:00:00,Finance
184,Infosys,Consulting,84692,2024-01-08 15:00:00,Operations
185,IBM,Cloud,85084,2024-01-08 16:00:00,IT
186,IBM,Infrastructure,40879,2024-01-08 17:00:00,Marketing
187,Infosys,Infrastructure,25767,2024-01-08 18:00:00,Marketing
188,IBM,Cloud,69099,2024-01-08 19:00:00,Operations
189,Google Cloud,Infrastructure,49657,2024-01-08 20:00:00,IT
190,Infosys,Infrastructure,9498,2024-01-08 21:00:00,Finance
191,TCS,Consulting,74667,2024-01-08 22:00:00,Finance
192,Infosys,Infrastructure,26107,2024-01-08 23:00:00,IT
193,IBM,Cloud,29793,2024-01-09 00:00:00,Marketing
194,Google Cloud,Consulting,3696,2024-01-09 01:00:00,IT
195,Google Cloud,Cloud,54839,2024-01-09 02:00:00,Marketing
196,Wipro,Software,90241,2024-01-09 03:00:00,Marketing
197,TCS,Cloud,24397,2024-01-09 04:00:00,Finance
198,Azure,Cloud,8704,2024-01-09 05:00:00,Operations
199,Azure,Consulting,17442,2024-01-09 06:00:00,HR
200,Infosys,Infrastructure,64788,2024-01-09 07:00:00,IT
201,Wipro,Cloud,10765,2024-01-09 08:00:00,Marketing
202,AWS,Consulting,11002,2024-01-09 09:00:00,IT
203,Infosys,Software,12390,2024-01-09 10:00:00,Operations
204,Wipro,Consulting,45436,2024-01-09 11:00:00,Operations
205,TCS,Consulting,85482,2024-01-09 12:00:00,HR
206,TCS,Infrastructure,7641,2024-01-09 13:00:00,HR
207,TCS,Cloud,34709,2024-01-09 14:00:00,Marketing
208,TCS,Software,40309,2024-01-09 15:00:00,HR
209,TCS,Consulting,16624,2024-01-09 16:00:00,Marketing
210,Wipro,Cloud,10966,2024-01-09 17:00:00,Finance
211,Wipro,Cloud,90350,2024-01-09 18:00:00,Marketing
212,Google Cloud,Consulting,35189,2024-01-09 19:00:00,HR
213,Azure,Cloud,72301,2024-01-09 20:00:00,IT
214,IBM,Consulting,96758,2024-01-09 21:00:00,HR
215,TCS,Consulting,18223,2024-01-09 22:00:00,Operations
216,AWS,Consulting,79183,2024-01-09 23:00:00,HR
217,IBM,Software,5959,2024-01-10 00:00:00,Finance
218,Wipro,Consulting,28257,2024-01-10 01:00:00,Marketing
219,AWS,Infrastructure,98520,2024-01-10 02:00:00,Operations
220,AWS,Cloud,51802,2024-01-10 03:00:00,Marketing
221,AWS,Software,88748,2024-01-10 04:00:00,Marketing
222,Google Cloud,Cloud,28215,2024-01-10 05:00:00,HR
223,Wipro,Software,56046,2024-01-10 06:00:00,IT
224,AWS,Infrastructure,95593,2024-01-10 07:00:00,Operations
225,TCS,Software,35094,2024-01-10 08:00:00,Finance
226,Infosys,Software,39669,2024-01-10 09:00:00,Finance
227,AWS,Software,37126,2024-01-10 10:00:00,IT
228,Google Cloud,Cloud,80036,2024-01-10 11:00:00,IT
229,IBM,Consulting,17772,2024-01-10 12:00:00,HR
230,Wipro,Cloud,49586,2024-01-10 13:00:00,Finance
231,Google Cloud,Consulting,52943,2024-01-10 14:00:00,Operations
232,AWS,Cloud,69868,2024-01-10 15:00:00,IT
233,Wipro,Infrastructure,50855,2024-01-10 16:00:00,IT
234,Infosys,Infrastructure,23218,2024-01-10 17:00:00,IT
235,AWS,Software,82008,2024-01-10 18:00:00,Operations
236,Google Cloud,Infrastructure,58205,2024-01-10 19:00:00,Finance
237,Azure,Software,5959,2024-01-10 20:00:00,Operations
238,TCS,Consulting,83979,2024-01-10 21:00:00,Operations
239,IBM,Infrastructure,46134,2024-01-10 22:00:00,HR
240,Google Cloud,Consulting,26874,2024-01-10 23:00:00,IT
241,Wipro,Cloud,2301,2024-01-11 00:00:00,Finance
242,AWS,Consulting,59017,2024-01-11 01:00:00,HR
243,TCS,Cloud,44319,2024-01-11 02:00:00,HR
244,AWS,Consulting,90616,2024-01-11 03:00:00,Marketing
245,Wipro,Consulting,325185,2024-01-11 04:00:00,IT
246,AWS,Infrastructure,96192,2024-01-11 05:00:00,Finance
247,Azure,Consulting,23455,2024-01-11 06:00:00,Finance
248,TCS,Infrastructure,5112,2024-01-11 07:00:00,Finance
249,TCS,Infrastructure,58033,2024-01-11 08:00:00,IT
250,Wipro,Software,365190,2024-01-11 09:00:00,Finance
251,IBM,Software,83418,2024-01-11 10:00:00,Operations
252,Azure,Cloud,33145,2024-01-11 11:00:00,Operations
253,Google Cloud,Consulting,33735,2024-01-11 12:00:00,IT
254,AWS,Cloud,73781,2024-01-11 13:00:00,Finance
255,Infosys,Consulting,68641,2024-01-11 14:00:00,Marketing
256,AWS,Software,22711,2024-01-11 15:00:00,Marketing
257,AWS,Software,6630,2024-01-11 16:00:00,Marketing
258,Google Cloud,Consulting,66488,2024-01-11 17:00:00,Operations
259,AWS,Consulting,4206,2024-01-11 18:00:00,Marketing
260,Azure,Software,57289,2024-01-11 19:00:00,Finance
261,Azure,Software,19953,2024-01-11 20:00:00,Finance
262,TCS,Cloud,11068,2024-01-11 21:00:00,Marketing
263,Wipro,Software,79930,2024-01-11 22:00:00,HR
264,IBM,Consulting,56916,2024-01-11 23:00:00,Marketing
265,Infosys,Cloud,2067,2024-01-12 00:00:00,HR
266,AWS,Consulting,51658,2024-01-12 01:00:00,IT
267,AWS,Infrastructure,53165,2024-01-12 02:00:00,IT
268,Google Cloud,Cloud,81781,2024-01-12 03:00:00,Finance
269,Wipro,Consulting,10859,2024-01-12 04:00:00,Operations
270,Azure,Software,30164,2024-01-12 05:00:00,Finance
271,Infosys,Infrastructure,81913,2024-01-12 06:00:00,Finance
272,TCS,Consulting,21773,2024-01-12 07:00:00,Operations
273,Azure,Cloud,58295,2024-01-12 08:00:00,Finance
274,Wipro,Consulting,34939,2024-01-12 09:00:00,Operations
275,IBM,Infrastructure,49599,2024-01-12 10:00:00,Finance
276,TCS,Cloud,7114,2024-01-12 11:00:00,IT
277,IBM,Infrastructure,99475,2024-01-12 12:00:00,HR
278,Google Cloud,Consulting,13818,2024-01-12 13:00:00,Finance
279,Google Cloud,Software,10335,2024-01-12 14:00:00,HR
280,AWS,Software,56008,2024-01-12 15:00:00,Marketing
281,IBM,Consulting,72745,2024-01-12 16:00:00,Finance
282,Wipro,Consulting,44148,2024-01-12 17:00:00,IT
283,Infosys,Consulting,4577,2024-01-12 18:00:00,Operations
284,TCS,Cloud,74916,2024-01-12 19:00:00,IT
