transaction_id,transaction_type,amount,budget_amount,sender,receiver,sender_old_balance,sender_new_balance,receiver_old_balance,receiver_new_balance,is_fraud,date,month,currency
T0000000,PAYMENT,7194.49,7295.605612841632,C1803258,M3734195,308976.27,301781.78,478328.94,485523.43,0,2023-01-01,January,INR
T0000001,DEBIT,105111.75,109577.86093559767,C7965603,C6330771,285835.29,180723.54,485220.84,590332.59,0,2023-01-01,January,INR
T0000002,PAYMENT,52013.34,55970.9910360272,C6891143,M4918332,322962.08,270948.74,105645.29,157658.63,0,2023-01-01,January,INR
T0000003,PAYMENT,46357.33,41982.11157451666,C4949905,M9338589,448015.17,401657.84,271644.95,318002.28,0,2023-01-01,January,INR
T0000004,PAYMENT,25684.91,24407.20183513853,C4897136,M2523192,499174.69,473489.78,203194.71,228879.62,0,2023-01-01,January,INR
T0000005,TRANSFER,43557.64,41137.34128967538,C8727380,C3419241,419611.39,376053.75,220512.74,264070.38,0,2023-01-01,January,INR
T0000006,CASH_OUT,14513.62,14957.691503496213,C1773510,C7163470,11577.39,0.0,160582.01,175095.63,0,2023-01-01,January,INR
T0000007,CASH_OUT,45663.35,44873.563522177275,C7276311,M7281331,153486.23,107822.88,13874.78,59538.13,0,2023-01-01,January,INR
T0000008,PAYMENT,153680.22,149670.34589056481,C2813225,M4246097,388798.6,235118.38,100567.53,254247.75,0,2023-01-01,January,INR
T0000009,DEBIT,11431.14,11837.886668787984,C1847596,C9296175,450594.1,439162.96,44074.98,55506.12,0,2023-01-01,January,INR
T0000010,PAYMENT,8995.82,9391.804142795936,C5738310,M8615866,455951.88,446956.06,242912.22,251908.04,0,2023-01-01,January,INR
T0000011,TRANSFER,67682.27,69681.74164765423,C9780600,C6505692,335508.71,267826.44,91317.34,158999.61,0,2023-01-01,January,INR
T0000012,CASH_OUT,11158.0,12180.03420286248,C7621770,C7737494,423476.37,412318.37,250785.31,261943.31,0,2023-01-01,January,INR
T0000013,PAYMENT,102117.04,107119.00529714162,C7850256,M5822057,80035.43,0.0,100073.86,202190.9,0,2023-01-01,January,INR
T0000014,CASH_OUT,23519.66,24801.23832520038,C7457294,C5237260,196278.17,172758.51,340811.8,364331.46,0,2023-01-01,January,INR
T0000015,PAYMENT,23510.04,22668.93222311337,C8074577,M5910694,41768.66,18258.62,459555.54,483065.58,0,2023-01-01,January,INR
T0000016,PAYMENT,108865.9,118725.93046462983,C5619038,M8604813,145063.45,36197.55,291623.86,400489.76,0,2023-01-01,January,INR
