Transaction_ID,Date,Vendor,Department,Amount,Issue_Type,ML_Risk_Score,Recommended_Action,Estimated_Savings,Auto_Action,Execution_Status
9297,2025-01-22 08:00:00,Wipro,Marketing,794925,High ML Risk (Pattern),0.9434623823888529,Investigate Vendor,158985.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2971,2024-05-03 18:00:00,Wipro,Finance,789779,High ML Risk (Pattern),0.9449835164835164,Investigate Vendor,157955.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5857,2024-09-01 00:00:00,Google Cloud,Finance,787700,High ML Risk (Pattern),0.8879586247086246,Investigate Vendor,157540.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7506,2024-11-08 17:00:00,TCS,Finance,778427,High ML Risk (Pattern),0.9281204212454213,Investigate Vendor,155685.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
113,2024-01-05 16:00:00,TCS,Finance,768926,High ML Risk (Pattern),0.9557619047619046,Investigate Vendor,153785.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8869,2025-01-04 12:00:00,TCS,Finance,768837,High ML Risk (Pattern),0.9609848484848486,Investigate Vendor,153767.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8828,2025-01-02 19:00:00,Infosys,IT,761577,High ML Risk (Pattern),0.9523162393162393,Investigate Vendor,152315.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7907,2024-11-25 10:00:00,Google Cloud,Marketing,759130,High ML Risk (Pattern),0.8849730824730824,Investigate Vendor,151826.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
627,2024-01-27 02:00:00,AWS,HR,758616,High ML Risk (Pattern),0.9211590909090909,Investigate Vendor,151723.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5142,2024-08-02 05:00:00,AWS,IT,755524,High ML Risk (Pattern),0.9086416361416362,Investigate Vendor,151104.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7549,2024-11-10 12:00:00,Wipro,Finance,754268,High ML Risk (Pattern),0.927465034965035,Investigate Vendor,150853.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4213,2024-06-24 12:00:00,IBM,Finance,754196,High ML Risk (Pattern),0.9101149683649684,Investigate Vendor,150839.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4312,2024-06-28 15:00:00,TCS,Marketing,753143,High ML Risk (Pattern),0.9233729187479187,Investigate Vendor,150628.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8825,2025-01-02 16:00:00,Infosys,Finance,751911,High ML Risk (Pattern),0.9215870893812071,Investigate Vendor,150382.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9001,2025-01-10 00:00:00,Infosys,Finance,734305,High ML Risk (Pattern),0.932435574229692,Investigate Vendor,146861.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2166,2024-03-31 05:00:00,Azure,Marketing,728057,High ML Risk (Pattern),0.9055555555555557,Investigate Vendor,145611.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3235,2024-05-14 18:00:00,IBM,Finance,726311,High ML Risk (Pattern),0.9046519036519036,Investigate Vendor,145262.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2154,2024-03-30 17:00:00,TCS,HR,722100,High ML Risk (Pattern),0.925688492063492,Investigate Vendor,144420.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1384,2024-02-27 15:00:00,Wipro,Marketing,720108,High ML Risk (Pattern),0.9296778309409889,Investigate Vendor,144021.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
6534,2024-09-29 05:00:00,Wipro,Operations,708186,High ML Risk (Pattern),0.9286388888888887,Investigate Vendor,141637.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3177,2024-05-12 08:00:00,Wipro,Marketing,708062,High ML Risk (Pattern),0.911111111111111,Investigate Vendor,141612.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1303,2024-02-24 06:00:00,AWS,Marketing,705710,High ML Risk (Pattern),0.8777540792540793,Investigate Vendor,141142.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
662,2024-01-28 13:00:00,Infosys,Operations,703034,High ML Risk (Pattern),0.8378116981058155,Investigate Vendor,140606.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7998,2024-11-29 05:00:00,Infosys,HR,696486,High ML Risk (Pattern),0.9077813852813853,Investigate Vendor,139297.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4020,2024-06-16 11:00:00,Infosys,Operations,691841,High ML Risk (Pattern),0.9373333333333332,Investigate Vendor,138368.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8619,2024-12-25 02:00:00,AWS,HR,691358,High ML Risk (Pattern),0.8744188311688313,Investigate Vendor,138271.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
806,2024-02-03 13:00:00,Wipro,IT,691031,High ML Risk (Pattern),0.9230975250239957,Investigate Vendor,138206.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
708,2024-01-30 11:00:00,IBM,HR,690526,High ML Risk (Pattern),0.9472817460317458,Investigate Vendor,138105.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7544,2024-11-10 07:00:00,Wipro,Marketing,688371,High ML Risk (Pattern),0.9000056193806194,Investigate Vendor,137674.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8367,2024-12-14 14:00:00,Google Cloud,IT,681898,High ML Risk (Pattern),0.8392252886002888,Investigate Vendor,136379.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8792,2025-01-01 07:00:00,Infosys,Marketing,681595,High ML Risk (Pattern),0.9476191961633138,Investigate Vendor,136319.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
419,2024-01-18 10:00:00,Infosys,Marketing,680469,High ML Risk (Pattern),0.9498627859069037,Investigate Vendor,136093.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
