transaction_id,transaction_type,amount,budget_amount,sender,receiver,sender_old_balance,sender_new_balance,receiver_old_balance,receiver_new_balance,is_fraud,date,month,currency
T0000000,CASH_OUT,81238.48,89260.05299456473,C1803258,C1558567,428079.08,346840.6,494533.76,575772.24,0,2023-01-01,January,INR
T0000001,CASH_OUT,6736.52,6652.9243728896945,C7965603,M6761751,95947.14,89210.62,105246.54,111983.06,0,2023-01-01,January,INR
T0000002,CASH_OUT,120605.84,118858.27601409181,C6891143,M6346863,16529.6,0.0,307632.04,428237.88,0,2023-01-01,January,INR
T0000003,PAYMENT,8548.87,8175.721342899348,C4949905,C5206221,286352.07,277803.2,38454.17,47003.04,0,2023-01-01,January,INR
T0000004,CASH_OUT,64011.76,65613.93867780708,C4897136,C3203692,41644.61,0.0,288720.82,352732.58,0,2023-01-01,January,INR
T0000005,PAYMENT,5245.31,5230.741152057528,C8727380,C3526895,47880.93,42635.62,62960.35,68205.66,0,2023-01-01,January,INR
T0000006,DEBIT,11099.89,11607.73465840982,C1773510,M7711074,400188.52,389088.63,409330.76,420430.65,0,2023-01-01,January,INR
T0000007,CASH_OUT,65595.95,63713.49970907579,C7276311,C1628308,245804.79,180208.84,469787.49,535383.44,0,2023-01-01,January,INR
T0000008,TRANSFER,15784.79,14619.382353781497,C2813225,C1760327,120754.23,104969.44,86493.4,102278.19,0,2023-01-01,January,INR
T0000009,CASH_IN,15164.88,16264.138027827452,C1847596,C4569992,174313.21,159148.33,231356.08,246520.96,0,2023-01-01,January,INR
T0000010,TRANSFER,128070.89,136473.5427638391,C5738310,C7969759,364620.49,236549.6,51021.5,179092.39,0,2023-01-01,January,INR
T0000011,TRANSFER,8225.51,7980.390109824485,C9780600,C6913317,33177.07,24951.56,169570.0,177795.51,0,2023-01-01,January,INR
T0000012,PAYMENT,44765.13,46469.353876029585,C7621770,M6309866,58240.31,13475.18,32548.88,77314.01,0,2023-01-01,January,INR
T0000013,CASH_OUT,86736.8,86605.0104802093,C7850256,M5807190,308131.02,221394.22,132273.26,219010.06,0,2023-01-01,January,INR
T0000014,TRANSFER,43766.81,46051.19323808768,C7457294,M1996752,303485.87,259719.06,495111.83,538878.64,0,2023-01-01,January,INR
T0000015,PAYMENT,24893.81,24346.805212076866,C8074577,C3986152,486231.09,461337.28,22301.63,47195.44,0,2023-01-01,January,INR
T0000016,CASH_IN,1112.77,1120.7016543932596,C5619038,C1715549,187274.74,186161.97,429484.16,430596.93,0,2023-01-01,January,INR
T0000017,PAYMENT,55399.95,50500.55685487636,C2153022,M7823419,32538.81,0.0,38726.29,94126.24,0,2023-01-01,January,INR
T0000018,CASH_OUT,54745.64,51186.18777688554,C8557733,C7757526,268768.72,214023.08,264498.47,319244.11,0,2023-01-01,January,INR
T0000019,PAYMENT,41261.11,43586.30234732508,C5053472,C3322852,319173.41,277912.3,226059.9,267321.01,0,2023-01-01,January,INR
T0000020,TRANSFER,39758.2,38816.451350665135,C5503166,C3636422,69801.39,30043.19,465777.33,505535.53,0,2023-01-01,January,INR
T0000021,CASH_IN,57953.9,52565.40924905185,C4337181,M3857092,276430.99,218477.09,99524.93,157478.83,0,2023-01-01,January,INR
T0000022,PAYMENT,7564.79,7061.937659558175,C2642946,C9003715,98883.56,91318.77,89841.01,97405.8,0,2023-01-01,January,INR
T0000023,CASH_OUT,22263.3,21869.67609354633,C9340883,C5396737,422365.03,400101.73,374357.04,396620.34,0,2023-01-01,January,INR
T0000024,CASH_OUT,105098.92,109679.40644026142,C8034106,M7858656,417580.75,312481.83,362859.74,467958.66,0,2023-01-01,January,INR
T0000025,CASH_IN,3474.99,3380.1123770859417,C6794785,C5039445,214814.55,211339.56,349590.89,353065.88,0,2023-01-01,January,INR
T0000026,PAYMENT,147321.22,154545.4328923431,C4621728,C7283711,483371.6,336050.38,13063.56,160384.78,0,2023-01-01,January,INR
T0000027,CASH_OUT,70370.75,75410.1484146791,C8404853,C5754938,489886.94,419516.19,129979.84,200350.59,0,2023-01-01,January,INR
T0000028,TRANSFER,20669.02,20012.309900350032,C5908861,C3507454,64625.54,43956.52,419947.59,440616.61,0,2023-01-01,January,INR
T0000029,TRANSFER,32125.23,34055.156860015944,C4990727,C8886692,183856.9,151731.67,300429.06,332554.29,0,2023-01-01,January,INR
T0000030,TRANSFER,59377.62,54946.632393389955,C5054135,C7380499,300160.74,240783.12,301097.46,360475.08,0,2023-01-01,January,INR
T0000031,TRANSFER,3982.62,3915.1412945241786,C3045148,C7924041,42418.9,38436.28,147958.3,151940.92,0,2023-01-01,January,INR
T0000032,TRANSFER,36109.77,33203.38413807543,C1829223,C9533328,191327.75,155217.98,130086.54,166196.31,0,2023-01-01,January,INR
T0000033,PAYMENT,46957.81,42755.34886350144,C5991262,C3238932,130586.04,83628.23,473277.44,520235.25,0,2023-01-01,January,INR
T0000034,TRANSFER,80171.96,73189.42126533364,C8991007,C1824038,476025.11,395853.15,363877.64,444049.6,0,2023-01-01,January,INR
T0000035,CASH_OUT,87976.56,81022.04859913385,C1574355,M6240448,205792.91,117816.35,63433.06,151409.62,0,2023-01-01,January,INR
T0000036,TRANSFER,140516.69,149951.70910113316,C8724620,C3935463,381335.43,240818.74,468853.47,609370.16,0,2023-01-01,January,INR
T0000037,PAYMENT,36671.06,36991.397284279694,C8448679,C4921995,193352.68,156681.62,291185.08,327856.14,0,2023-01-01,January,INR
T0000038,TRANSFER,94411.77,102859.51213702401,C3490836,M3112050,65906.04,0.0,166681.18,261092.95,0,2023-01-01,January,INR
T0000039,TRANSFER,14389.18,14498.538635128001,C6684978,M4586215,431575.77,417186.59,198569.72,212958.9,0,2023-01-01,January,INR
T0000040,CASH_OUT,38450.79,39440.600481857386,C2487061,C4539250,208.46,0.0,362702.26,401153.05,0,2023-01-01,January,INR
T0000041,CASH_IN,50008.89,46853.16862388784,C7822788,C4155002,27970.44,0.0,188136.33,238145.22,0,2023-01-01,January,INR
T0000042,TRANSFER,28245.9,28475.149490143536,C7304705,C7680993,182192.2,153946.3,289372.4,317618.3,0,2023-01-01,January,INR
T0000043,CASH_OUT,43569.9,42570.428704221216,C4190733,M6333871,343449.13,299879.23,355249.75,398819.65,0,2023-01-01,January,INR
